index	Category	Num	ColorID	Name	Description	Use_Type	Icon	IconIndex	GamePrice	CashPrice	CashCheck	Update_Date	RareLimit	Type	SubType	PosID1	SubPosID11	SubPosID12	PosID2	SubPosID21	SubPosID22	Kind	StatusType1	StatusValue1	StatusType2	StatusValue2	StatusType3	StatusValue3	StatusType4	StatusValue4	StatusType5	StatusValue5	StatusType6	StatusValue6	StatusType7	StatusValue7	StatusType8	StatusValue8	Require1_Type	Require1_ID	Require1_Value1	Require1_Value2	Require2_Type	Require2_ID	Require2_Value1	Require2_Value2	Require3_Type	Require3_ID	Require3_Value1	Require3_Value2	Require4_Type	Require4_ID	Require4_Value1	Require4_Value2	CoolTime1	CoolTime2	CoolTimeApplyID1	CoolTimeApplyID2	ItemCoolTimeID	DurationTime	StackLimit	ItemLv	Logging	Serialized	Trade	Destroy	Storage	Sell	ItemPointMin	ItemPointMax	OptionID1	OptionID2	OptionID3	OptionID4	MotionTypeID1	MotionTypeID2	EffectID1	EffectID2	EffectID3	EffectID4	OptionType	OptionClass	IconMark	NameColor	Red	Green	Blue	Time_Type	Lifetime	Default_Type	Max_EXP	Limit_EXP	Pet_ClassID	Skill1	SLv1	Consume_SP1	Skill2	SLv2	Consume_SP2	Skill3	SLv3	Consume_SP3	Skill4	SLv4	Consume_SP4	Macro_Type	SetID	QuestID	PvpUse	CashPoint	ItemLvValue	AuctionCategory	AuctionQuality	ShopID	EnchantAllow	WeddingItem	dec_cool	MotionTypeID3	Seal_Min_Cnt	Seal_Max_Cnt	Colouring
170100101	1701	1	1	初級體力藥水	\n※效果※\n HP恢復90		10001300	1	11	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3001	1	0	0	0	0	0	0	0	0
170100102	1701	1	2	體力藥水	\n※效果※\n HP恢復160		10001300	2	25	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	3001	1	0	0	0	0	0	0	0	0
170100103	1701	1	3	高級體力藥水	\n※效果※\n HP恢復230		10001300	3	46	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	3001	1	0	0	0	0	0	0	0	0
170100401	1701	4	1	初級體力餅乾	\n※效果※\n HP恢復300		10001300	10	75	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	4	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	3001	1	0	0	0	0	0	0	0	0
170100402	1701	4	2	體力餅乾	\n※效果※\n HP恢復370		10001300	11	115	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	5	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	40	3001	1	0	0	0	0	0	0	0	0
170100403	1701	4	3	高級體力餅乾	\n※效果※\n HP恢復440		10001300	12	169	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	6	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	3001	1	0	0	0	0	0	0	0	0
170100501	1701	5	1	頂級體力餅乾	\n※效果※\n HP恢復510		10001300	13	240	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10001	0	10001	0	300	7	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	60	3001	1	0	0	0	0	0	0	0	0
170100601	1701	6	1	初級魔力藥水	\n※效果※\n SP恢復55		10001300	14	11	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10002	0	10002	0	300	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3001	1	0	0	0	0	0	0	0	0
170100602	1701	6	2	魔力藥水	\n※效果※\n SP恢復100		10001300	15	25	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10002	0	10002	0	300	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	3001	1	0	0	0	0	0	0	0	0
170100603	1701	6	3	高級魔力藥水	\n※效果※\n SP恢復145		10001300	16	46	0	0	null	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10002	0	10002	0	300	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	13000101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	3001	1	0	0	0	0	0	0	0	0
